,index,date,name,title_text,content_text,link,date_b,condor,guarda,disparo,matou,morto,mortos,morte,morreu,feriu,bala,fatal,não letal,não-letal,não letais,não-letais
91,71,24/04/2024 06h00,marieclaire,Armas de fogo e a vitimização de mulheres,"Qual é o impacto da flexibilização de acesso às armas de fogo nos índices de violência contra mulheres e feminicídio
Ilustração... — ... praticada com arma de fogo contra as mulheres no nosso país, evidenciando o custo social e humano da violência armada para...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=72&r=1721093817463&u=https%3A%2F%2Frevistamarieclaire.globo.com%2Fblogs%2Fsilvia-chakian%2Fnoticia%2F2024%2F04%2Farmas-de-fogo-e-a-vitimizacao-de-mulheres.ghtml&syn=False&key=ca9369a1c4012afe73b6d625c5ff6548,2024-04-24 06:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,10,26/03/2024 22h09,monet,Marido de estrela de reality pede ordem de restrição contra a e...,"... passada (19), ele foi preso por um ""ataque com arma letal"" envolvendo a companheira e Christian Georges Dumontet, único filho...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=11&r=1721093759456&u=https%3A%2F%2Frevistamonet.globo.com%2Fcelebridades%2Fnoticia%2F2024%2F03%2Fmarido-de-estrela-de-reality-pede-ordem-de-restricao-contra-a-esposa-apos-ser-preso-por-ataque-com-arma-letal.ghtml&syn=False&key=acb28b32e89c6dc1f0fec82522c414cb,2024-03-26 22:09:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,17,31/01/2024 17h10,O Globo,"De saída da Justiça, Dino afirma que crimes violentos letais ca...","... de crimes violentos, letais, intencionais no país em 2023, enquanto foi registrado um aumento de 25,5% na apreensão de armas ilegais... — ... violentos, letais, intencionais, uma redução de 4,17% em relação a 2022, quando foram registrados 42.190. Já sobre armas, Dino afirmou...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=18&r=1721093816802&u=https%3A%2F%2Foglobo.globo.com%2Fbrasil%2Fnoticia%2F2024%2F01%2F31%2Fdino-balanco.ghtml&syn=False&key=0401b32a22d383a0438ae85fd3415f8b,2024-01-31 17:10:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,82,26/12/2023 22h51,G1,Piora para gravíssimo estado de saúde de rapaz baleado na cabeç...,"... contra o suspeito porque ele não obedeceu aos comandos da Polícia Militar e também porque não surtiu efeito o uso da arma não letal de choque... — ....
De acordo com as informações apuradas pelo g1 junto à Polícia Civil, houve a necessidade de disparo de arma de fogo...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=83&r=1721083772651&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fpresidente-prudente-regiao%2Fnoticia%2F2023%2F12%2F26%2Fevolui-para-gravissimo-estado-de-saude-de-rapaz-baleado-na-cabeca-por-policia-militar-apos-direcao-perigosa-de-trator-em-taciba.ghtml&syn=False&key=fd4bb58b534dab60adf84a3667a72e03,2023-12-26 22:51:00.000000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
95,55,23/12/2023 21h25,G1,PM acerta tiro na cabeça de suspeito de colocar a vida de outra...,"... Militar e também porque não surtiu efeito o uso da arma não letal de choque elétrico, conhecida como taser, pelos policiais... — ... à Polícia Civil, houve a necessidade de disparo de arma de fogo contra o suspeito porque ele não obedeceu aos comandos da Polícia...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=56&r=1721083504001&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fpresidente-prudente-regiao%2Fnoticia%2F2023%2F12%2F23%2Fpolicia-militar-tiro-trator-direcao-perigosa-tratorista-taciba.ghtml&syn=False&key=052868838091f9dcbc404fa8c799f46d,2023-12-23 21:25:00.000000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
96,65,23/12/2023 03h00,O Globo,Ator Charlie Sheen sofre tentativa de estrangulamento por vizin...,"... como Electra Schrock, foi presa por ataque com arma letal, uso de força com risco de provocar ferimentos graves e roubo de residência...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=66&r=1721093817448&u=https%3A%2F%2Foglobo.globo.com%2Fcultura%2Fnoticia%2F2023%2F12%2F23%2Fator-charlie-sheen-sofre-tentativa-de-estrangulamento-por-vizinha-em-casa-nos-eua.ghtml&syn=False&key=4c311e0ec5110ab2ffff00633ba5851d,2023-12-23 03:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,63,23/12/2023 00h38,G1,Ator Charlie Sheen é atacado por vizinha em casa nos EUA,"..., foi presa por ataque com arma letal, uso de força com risco de provocar ferimentos graves e roubo de residência.
O site...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=64&r=1721093817444&u=https%3A%2F%2Fg1.globo.com%2Fpop-arte%2Fnoticia%2F2023%2F12%2F22%2Fator-charlie-sheen-e-atacado-por-vizinha-em-casa-nos-eua.ghtml&syn=False&key=6e10b189d0c065a5e3a190b857759035,2023-12-23 00:38:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,4,24/11/2023 13h19,Meio Dia Paraná - Londrina,Câmara de Vereadores de Londrina quer vigilantes com armas não ...,Segurança passará a usar equipamentos com choque elétrico.,//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=5&r=1721093759427&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F12140992%2F&syn=False&key=1715038651b318580d2039d2bfb8f8fa,2023-11-24 13:19:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,6,23/10/2023 22h48,O Globo,"Condor, brasileira de armas não-letais, entra no mercado de câm...","A carioca Condor, uma das maiores fabricantes do mundo de armas não-letais como granadas de gás lacrimogêneo e balas de borracha...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=7&r=1721093759437&u=https%3A%2F%2Foglobo.globo.com%2Fblogs%2Fcapital%2Fpost%2F2023%2F10%2Fcondor-brasileira-de-armas-nao-letais-entra-no-mercado-de-camera-corporal-para-policia.ghtml&syn=False&key=4efb774a49e3c00600a87443bc9b5cdc,2023-10-23 22:48:00.000000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
100,95,27/09/2023 17h45,G1,"Polícia investiga se 'bean bag', munição adotada pela PM, ating...","...; e saco apreendido pela perícia que pode ter matado ele. Artefato é semelhante a 'bean bag', munição menos letal usada pela PM... — ... por armas de fogo. Após o tiro, o saquinho é lançado para atingir o alvo. 
Essa munição tem sido adotada de forma gradativa para...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=96&r=1721082979627&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fsao-paulo%2Fnoticia%2F2023%2F09%2F27%2Fpolicia-investiga-se-bean-bag-municao-adotada-pela-pm-atingiu-e-matou-sao-paulino-durante-confronto-com-torcedores-em-sp.ghtml&syn=False&key=9d13301e61478af05d83d100b49b9b94,2023-09-27 17:45:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
