,date,name,title_text,content_text,link
84,6.jun.2021 às 17h22,Folha de S.Paulo - Poder,Documento diz que ordem para dispersar manifestação contra Bolsonaro em PE foi do comando da PM,Duas pessoas perderam a visão de um olho após terem sido atingidas por tiros de bala de borracha que partiram da polícia. ...,https://www1.folha.uol.com.br/poder/2021/06/documento-diz-que-ordem-para-dispersar-manifestacao-contra-bolsonaro-em-pe-foi-do-comando-da-pm.shtml
85,4.jun.2021 às 18h28,Folha de S.Paulo - Poder,"Após troca e afastamentos na PM, excesso policial em ato contra Bolsonaro leva à queda de secretário em PE",Duas pessoas perderam a visão de um olho após terem sido atingidas por tiros de bala de borracha que partiram da polícia. ...,https://www1.folha.uol.com.br/poder/2021/06/apos-troca-e-afastamentos-na-pm-excesso-policial-em-ato-contra-bolsonaro-leva-a-queda-de-secretario-em-pe.shtml
86,3.jun.2021 às 15h06,Folha de S.Paulo - Poder,PM é afastado após cegar homem com bala de borracha em ato contra Bolsonaro no Recife,"O policial militar que acertou com um tiro de bala de borracha o olho do arrumador Jonas Correia de França, 29, durante ato contra o presidente Jair Bolsonaro no Recife foi afastado disciplinarmente ...",https://www1.folha.uol.com.br/poder/2021/06/pm-e-afastado-apos-cegar-homem-com-bala-de-borracha-em-ato-contra-bolsonaro-no-recife.shtml
87,2.jun.2021 às 18h23,Agora - São Paulo,Promotoria abre ação para que GCM deixe de atuar como força policial na cracolândia,"Segundo o Craco Resiste, nessa ação foram contabilizados 48 tiros de bala de borracha e quatro bombas de gás, usadas contra os usuários de drogas. ...",https://agora.folha.uol.com.br/sao-paulo/2021/06/promotoria-abre-acao-para-que-gcm-deixe-de-atuar-como-forca-policial-na-cracolandia.shtml
88,1º.jun.2021 às 21h37,Folha de S.Paulo - Poder,Comandante da PM de Pernambuco cai após excesso policial em protesto contra Bolsonaro,"O governo identificou o policial que disparou um tiro de bala de borracha no olho do adesivador Daniel Campelo da Silva, 51. ...",https://www1.folha.uol.com.br/poder/2021/06/comandante-da-pm-de-pernambuco-cai-apos-excesso-policial-em-protesto-contra-bolsonaro.shtml
89,1º.jun.2021 às 15h24,Folha de S.Paulo - Poder,Cúpula da segurança de PE recebeu alerta sobre excessos policiais dois dias antes de protesto contra Bolsonaro,"O governo identificou o policial que disparou um tiro de bala de borracha no olho do adesivador Daniel Campelo da Silva, 51. ...",https://www1.folha.uol.com.br/poder/2021/06/cupula-da-seguranca-de-pe-recebeu-alerta-sobre-excessos-policiais-dois-dias-antes-de-protesto-contra-bolsonaro.shtml
90,31.mai.2021 às 16h25,Folha de S.Paulo - Poder,Cúpula da segurança de Pernambuco monitorava câmeras no momento de ação da PM em protesto,"O governo identificou o policial que disparou um tiro de bala de borracha no olho do adesivador Daniel Campelo da Silva, 51. ...",https://www1.folha.uol.com.br/poder/2021/05/cupula-da-seguranca-de-pernambuco-monitorava-cameras-no-momento-de-acao-da-pm-em-protesto.shtml
91,30.mai.2021 às 23h15,Painel do Leitor - Painel do Leitor,Protestos contra Bolsonaro são alvo de comentários de leitores,"Não tenho medo dos milicianos, da PM, da bala de borracha ou do gás. Tenho medo de sobreviver a três ondas e morrer na quinta ou sexta, sem vacina. ...",https://www1.folha.uol.com.br/paineldoleitor/2021/05/protestos-contra-bolsonaro-sao-alvo-de-comentarios-de-leitores.shtml
92,30.mai.2021 às 15h38,Folha de S.Paulo - Poder,"Atingidos por balas de borracha, dois homens perdem visão após ação da PM em ato contra Bolsonaro no Recife",Dois homens perderam a visão de um olho após serem atingidos por tiros de bala de borracha disparados durante as manifestações contra o presidente Jair Bolsonaro neste sábado (29) no Recife. ...,https://www1.folha.uol.com.br/poder/2021/05/homem-perde-visao-de-um-olho-apos-ser-atingido-por-bala-de-borracha-disparada-em-ato-contra-bolsonaro-no-recife.shtml
93,21.mai.2021 às 15h53,Folha de S.Paulo - Poder,Entidades cobram Supremo para reverter 'grave injustiça' em caso de jornalista ferido em manifestação,"A retomada do julgamento pelo STF (Supremo Tribunal Federal) do recurso do repórter-fotográfico Alex Silveira, que perdeu a visão após ser atingido por uma bala de borracha durante cobertura ...",https://www1.folha.uol.com.br/poder/2021/05/entidades-cobram-supremo-para-reverter-grave-injustica-em-caso-de-jornalista-ferido-em-manifestacao.shtml
