,index,date,name,title_text,content_text,date_b,condor,guarda,disparo,matou,morto,mortos,morte,morreu,feriu,bala,fatal,não letal,não-letal,não letais,não-letais
16,32,há 42 minutos,O Globo,"Ordo: Castro fala em 'caça' a criminosos, relata vazamento da o...","... problema” do Rio atualmente são as armas, apontadas por ele como responsáveis pelo “nível de sensação de insegurança que temos hoje... — ... sobre a abordagem a adolescentes em Ipanema só depois de “avacalhar” com a polícia.  
— Essas armas, quando saem do Leste europeu...",2024-07-15 16:49:33.188867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,29,há 8 horas,Bom Dia GO,"Operação policial apreende armas e centenas de munições, em Jat...",Polícia apreende armas e munições após mulher denunciar marido por agressões.,2024-07-15 16:49:33.187868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,26,há 5 horas,JA 1ª Edição - Regional,Homem é preso suspeito de ameaçar família com arma falsa,Dono de imóvel ameaçou inquilinos por causa de dívida de aluguel.,2024-07-15 16:49:33.184870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,25,há 6 horas,Gazeta Meio Dia,Adolescente tenta roubar policial com arma falsa em Cariacica,Assista a seguir.,2024-07-15 16:49:33.184870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,22,há 5 horas,JA 1ª Edição,Casos de violência contra a mulher resultam em prisões e apreen...,Polícia age em duas ocorrências envolvendo violência doméstica e armas.,2024-07-15 16:49:33.175263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,23,há 6 horas,G1 CE,Delegado tem arma roubada durante assalto em Fortaleza,Três suspeitos foram presos e os pertences do agente foram recuperados.,2024-07-15 16:49:33.175263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,21,há 4 horas,JPB1,Polícia apreende armas e drogas na Ilha do Bispo,Karine Tenório tem os detalhes da operação.,2024-07-15 16:49:33.175263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,19,há 28 minutos,G1,Polícia aguarda laudos da perícia para avançar investigação sob...,"Criança morre baleada pela arma do pai em Bragança Paulista
A Polícia Civil de Bragança Paulista (SP) iniciou as investigações... — ... sobre o caso da menina de nove anos que morreu após ser atingida por um disparo acidental de uma arma do pai, na madrugada do último...",2024-07-15 16:49:33.175263,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,5,há 7 horas,O Globo,"Fuzil usado contra Trump, AR-15 foi a arma mais utilizada em ch...","... National Rifle Association (NRA, associação que defende o amplo acesso a armas de fogo), o AR-15 está no centro do debate armamentista... — ... a entrar no mercado de armas após o fim da proibição federal de armas de assalto em 2004. Eles podem ser personalizados com miras...",2024-07-15 16:49:33.164366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,142,há 1 dia,O Globo,Deputados consideram revólver menos nocivo que guaraná,"A Câmara excluiu as armas de fogo do imposto seletivo, também chamado de imposto do pecado. A sobretaxa vai encarecer... — ... espaço para novos privilégios.
No caso das armas, o resultado foi espantoso. O texto derruba o imposto de quase 90% para 26,5...",2024-07-14 16:49:33.285119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,98,há 1 dia,G1,Suspeito de esfaquear adolescente escondeu arma na bota para en...,"Suspeito de esfaquear adolescente escondeu arma para entrar em festa de peão, em Monsenhor Paulo
O jovem suspeito de esfaquear... — ... um adolescente durante a Festa de Peão de Monsenhor Paulo (MG), neste sábado (13), conseguiu entrar no evento com a arma escondida...",2024-07-14 16:49:33.244059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,80,há 1 dia,G1,Polícia identifica arma usada por motorista que atirou em carro...,"..., mas conseguiu um habeas corpus e responde em liberdade pelos crimes de dupla tentativa de homicídio e porte ilegal de arma..
📲 Participe... — ... de Investigações Gerais de Itapetininga (DIG) conseguiu identificar o número de registro da arma, usada pelo empresário, que estava...",2024-07-14 16:49:33.229219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,51,há 1 dia,G1,Goleiro baleado por PM denuncia ataques na web: 'Tiro tinha que...,".... A corporação ressaltou que o disparo foi feito com uma bala de borracha, um armamento menos letal, e que não compactua com qualquer desvio... — ... baleado por policial após jogo diz que pediu para policial abaixar a arma apontada para amigo
4 MESES SEM JOGAR: Goleiro baleado...",2024-07-14 16:49:33.205262,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
