,index,date,name,title_text,content_text,link,date_b
163,115,28.jun.2013 às 17h59,Folha de S.Paulo - Cotidiano,"Após protestos, PM do Rio reabastece estoque de gás lacrimogêneo","A cúpula de Segurança Pública do Rio fez uma compra emergencial, sem licitação, de bombas de gás lacrimogêneo e munições não letais para repor o estoque do Batalhão de Choque da Polícia Militar ...",http://www1.folha.uol.com.br/cotidiano/2013/06/1303149-apos-protestos-pm-do-rio-reabastece-estoque-de-gas-lacrimogeneo.shtml,2013-06-28
164,67,28.jun.2013 às 17h59,Folha de S.Paulo - Cotidiano,"Após protestos, PM do Rio reabastece estoque de gás lacrimogêneo","A cúpula de Segurança Pública do Rio fez uma compra emergencial, sem licitação, de bombas de gás lacrimogêneo e munições não letais para repor o estoque do Batalhão de Choque da Polícia Militar ...",http://www1.folha.uol.com.br/cotidiano/2013/06/1303149-apos-protestos-pm-do-rio-reabastece-estoque-de-gas-lacrimogeneo.shtml,2013-06-28
165,93,20.jun.2013 às 11h06,Folha de S.Paulo - BBC Brasil,Protestos impulsionam indústria do gás lacrimogêneo,"Ambas as organizações sustentam que não é preciso ser mais velho ou estar grávida para sentir efeitos ""irreversíveis"" dessas armas não letais. ...",http://www1.folha.uol.com.br/bbc/2013/06/1298165-protestos-impulsionam-industria-do-gas-lacrimogeneo.shtml,2013-06-20
166,21,20.jun.2013 às 11h06,Folha de S.Paulo - BBC Brasil,Protestos impulsionam indústria do gás lacrimogêneo,"Ambas as organizações sustentam que não é preciso ser mais velho ou estar grávida para sentir efeitos ""irreversíveis"" dessas armas não letais. ...",http://www1.folha.uol.com.br/bbc/2013/06/1298165-protestos-impulsionam-industria-do-gas-lacrimogeneo.shtml,2013-06-20
167,213,20.jun.2013 às 11h06,Folha de S.Paulo - BBC Brasil,Protestos impulsionam indústria do gás lacrimogêneo,"Ambas as organizações sustentam que não é preciso ser mais velho ou estar grávida para sentir efeitos ""irreversíveis"" dessas armas não letais. ...",http://www1.folha.uol.com.br/bbc/2013/06/1298165-protestos-impulsionam-industria-do-gas-lacrimogeneo.shtml,2013-06-20
168,117,20.jun.2013 às 11h06,Folha de S.Paulo - BBC Brasil,Protestos impulsionam indústria do gás lacrimogêneo,"Ambas as organizações sustentam que não é preciso ser mais velho ou estar grávida para sentir efeitos ""irreversíveis"" dessas armas não letais. ...",http://www1.folha.uol.com.br/bbc/2013/06/1298165-protestos-impulsionam-industria-do-gas-lacrimogeneo.shtml,2013-06-20
169,69,20.jun.2013 às 11h06,Folha de S.Paulo - BBC Brasil,Protestos impulsionam indústria do gás lacrimogêneo,"Ambas as organizações sustentam que não é preciso ser mais velho ou estar grávida para sentir efeitos ""irreversíveis"" dessas armas não letais. ...",http://www1.folha.uol.com.br/bbc/2013/06/1298165-protestos-impulsionam-industria-do-gas-lacrimogeneo.shtml,2013-06-20
170,237,20.jun.2013 às 11h06,Folha de S.Paulo - BBC Brasil,Protestos impulsionam indústria do gás lacrimogêneo,"Ambas as organizações sustentam que não é preciso ser mais velho ou estar grávida para sentir efeitos ""irreversíveis"" dessas armas não letais. ...",http://www1.folha.uol.com.br/bbc/2013/06/1298165-protestos-impulsionam-industria-do-gas-lacrimogeneo.shtml,2013-06-20
171,165,20.jun.2013 às 11h06,Folha de S.Paulo - BBC Brasil,Protestos impulsionam indústria do gás lacrimogêneo,"Ambas as organizações sustentam que não é preciso ser mais velho ou estar grávida para sentir efeitos ""irreversíveis"" dessas armas não letais. ...",http://www1.folha.uol.com.br/bbc/2013/06/1298165-protestos-impulsionam-industria-do-gas-lacrimogeneo.shtml,2013-06-20
172,141,20.jun.2013 às 11h06,Folha de S.Paulo - BBC Brasil,Protestos impulsionam indústria do gás lacrimogêneo,"Ambas as organizações sustentam que não é preciso ser mais velho ou estar grávida para sentir efeitos ""irreversíveis"" dessas armas não letais. ...",http://www1.folha.uol.com.br/bbc/2013/06/1298165-protestos-impulsionam-industria-do-gas-lacrimogeneo.shtml,2013-06-20
