year,condor_t,condor,não_letal_G,morte_G,bala_de_borracha_G,munição,granada,disparo,lacrimogêneo
2001,0,0,20,0,0,0,0,0,0
2003,0,0,30,0,0,0,0,0,0
2007,0,0,10,0,0,0,0,0,0
2008,0,0,10,0,0,0,0,0,0
2011,0,0,20,0,0,0,0,0,0
2012,0,0,9,0,0,0,0,0,0
2013,0,8,21,0,0,0,0,0,0
2014,0,5,17,0,0,0,0,0,0
2019,0,0,2,0,4,0,0,0,2
2024,0,0,1,1,0,1,0,0,0
