,index,date,name,title_text,content_text,link,date_b
0,0,27.dez.2023 às 10h11,Folha de S.Paulo - Cotidiano,Criança de um ano é baleada por PM com munição de plástico em São Paulo,"Ainda segundo ele, no mínimo haveria dolo (crime) eventual, porque um policial com conhecimento técnico saberia que o disparo, mesmo de munição não letal, contra uma moto, poderia causar um acidente ...",https://www1.folha.uol.com.br/cotidiano/2023/12/crianca-de-um-ano-e-baleada-por-pm-com-municao-de-plastico-em-sao-paulo.shtml,2023-12-27
1,1,17.set.2023 às 21h40,Folha de S.Paulo - Cotidiano,Deputada do RS é agredida com spray de pimenta pela Guarda Municipal,OUTRO LADO: Prefeitura de Porto Alegre promete apurar caso e confirma uso de munição não letal em ocupação no centro A deputada estadual gaúcha Laura Sito (PT) denunciou agressão pela Guarda ...,https://www1.folha.uol.com.br/cotidiano/2023/09/deputada-do-rs-e-agredida-com-spray-de-pimenta-pela-guarda-municipal.shtml,2023-09-17
2,25,17.set.2023 às 21h40,Folha de S.Paulo - Cotidiano,Deputada do RS é agredida com spray de pimenta pela Guarda Municipal,OUTRO LADO: Prefeitura de Porto Alegre promete apurar caso e confirma uso de munição não letal em ocupação no centro A deputada estadual gaúcha Laura Sito (PT) denunciou agressão pela Guarda ...,https://www1.folha.uol.com.br/cotidiano/2023/09/deputada-do-rs-e-agredida-com-spray-de-pimenta-pela-guarda-municipal.shtml,2023-09-17
3,50,3.set.2023 às 21h10,Folha de S.Paulo - Mundo,"Quem foi Vasili Arkhipov, homem que salvou o mundo de guerra nuclear","""O encouraçado começou a disparar munição não letal, para fazer com que o submarino viesse à superfície"", explica Wilson. ...",https://www1.folha.uol.com.br/mundo/2023/09/quem-foi-vasili-arkhipov-homem-que-salvou-o-mundo-de-guerra-nuclear.shtml,2023-09-03
4,26,3.set.2023 às 21h10,Folha de S.Paulo - Mundo,"Quem foi Vasili Arkhipov, homem que salvou o mundo de guerra nuclear","""O encouraçado começou a disparar munição não letal, para fazer com que o submarino viesse à superfície"", explica Wilson. ...",https://www1.folha.uol.com.br/mundo/2023/09/quem-foi-vasili-arkhipov-homem-que-salvou-o-mundo-de-guerra-nuclear.shtml,2023-09-03
5,2,3.set.2023 às 21h10,Folha de S.Paulo - Mundo,"Quem foi Vasili Arkhipov, homem que salvou o mundo de guerra nuclear","""O encouraçado começou a disparar munição não letal, para fazer com que o submarino viesse à superfície"", explica Wilson. ...",https://www1.folha.uol.com.br/mundo/2023/09/quem-foi-vasili-arkhipov-homem-que-salvou-o-mundo-de-guerra-nuclear.shtml,2023-09-03
6,3,9.jun.2023 às 4h02,Folha de S.Paulo - Poder,Violência policial alavancou Junho de 2013 e pavimentou empoderamento militar,"Dessa vez, a corporação estava com maior estoque de munição não letal e exoesqueletos estilo Robocop. ...",https://www1.folha.uol.com.br/poder/2023/06/violencia-policial-alavancou-junho-de-2013-e-pavimentou-empoderamento-militar.shtml,2023-06-09
7,75,9.jun.2023 às 4h02,Folha de S.Paulo - Poder,Violência policial alavancou Junho de 2013 e pavimentou empoderamento militar,"Dessa vez, a corporação estava com maior estoque de munição não letal e exoesqueletos estilo Robocop. ...",https://www1.folha.uol.com.br/poder/2023/06/violencia-policial-alavancou-junho-de-2013-e-pavimentou-empoderamento-militar.shtml,2023-06-09
8,51,9.jun.2023 às 4h02,Folha de S.Paulo - Poder,Violência policial alavancou Junho de 2013 e pavimentou empoderamento militar,"Dessa vez, a corporação estava com maior estoque de munição não letal e exoesqueletos estilo Robocop. ...",https://www1.folha.uol.com.br/poder/2023/06/violencia-policial-alavancou-junho-de-2013-e-pavimentou-empoderamento-militar.shtml,2023-06-09
9,27,9.jun.2023 às 4h02,Folha de S.Paulo - Poder,Violência policial alavancou Junho de 2013 e pavimentou empoderamento militar,"Dessa vez, a corporação estava com maior estoque de munição não letal e exoesqueletos estilo Robocop. ...",https://www1.folha.uol.com.br/poder/2023/06/violencia-policial-alavancou-junho-de-2013-e-pavimentou-empoderamento-militar.shtml,2023-06-09
