year,condor_t,condor,não_letal_G,morte_G,bala_de_borracha_G,munição,granada,disparo,lacrimogêneo,spray
2017,0,0,0,1,27,0,0,1,1,0
2018,0,0,0,0,52,0,0,0,0,0
2019,0,0,0,2,99,0,0,5,2,0
2020,0,0,0,0,78,0,0,1,2,2
2021,0,0,1,2,84,0,0,3,1,0
2022,0,0,0,0,57,0,0,2,7,2
2023,0,0,0,1,101,1,0,3,5,2
2024,0,0,0,0,32,0,0,0,0,0
